,time,ll,n_component,DB,method
5,214.3302800655365,-24.32745953177523,7.0,PBMC_5k,GMM
6,211.78773593902588,-23.873551854916364,8.0,PBMC_5k,GMM
7,213.2189016342163,-22.46290853355792,11.0,PBMC_5k,GMM
8,203.1698772907257,-23.317866247583037,9.0,PBMC_5k,GMM
9,205.1005666255951,-26.363360699392683,6.0,PBMC_5k,GMM
0,5.1210691928863525,-19.4854647187879,30.0,PBMC_5k,GMM_fixk
1,3.6479127407073975,-20.752295899917097,24.0,PBMC_5k,GMM_fixk
2,4.176607847213745,-20.312525768964793,25.0,PBMC_5k,GMM_fixk
3,6.233431577682495,-20.262024172246882,27.0,PBMC_5k,GMM_fixk
4,5.7177252769470215,-20.31578796444344,26.0,PBMC_5k,GMM_fixk
5,4.098653793334961,-20.1200694101659,25.0,PBMC_5k,GMM_fixk
6,6.036544322967529,-19.28314747254952,33.0,PBMC_5k,GMM_fixk
7,4.6363441944122314,-20.369931181472886,29.0,PBMC_5k,GMM_fixk
8,3.9037649631500244,-20.91871447452352,22.0,PBMC_5k,GMM_fixk
9,3.270127058029175,-20.971680742345054,26.0,PBMC_5k,GMM_fixk
0,25.154587030410767,-23.45307846766253,45.0,PBMC_5k,nGMM
1,27.146455764770508,-23.183804631992455,48.0,PBMC_5k,nGMM
2,22.942864418029785,-23.561227156902333,47.0,PBMC_5k,nGMM
3,24.96070146560669,-23.065355294909185,48.0,PBMC_5k,nGMM
4,23.56050968170166,-23.316521817329175,50.0,PBMC_5k,nGMM
5,25.249542474746704,-23.05478727667191,50.0,PBMC_5k,nGMM
6,24.98569369316101,-23.347849308051337,44.0,PBMC_5k,nGMM
7,23.13675308227539,-23.305425238489914,49.0,PBMC_5k,nGMM
8,21.95742917060852,-24.176815345583663,38.0,PBMC_5k,nGMM
9,23.830355167388916,-23.248454154840363,48.0,PBMC_5k,nGMM
0,0.5936610698699951,-24.652414093913112,30.0,PBMC_5k,nGMM_fixk
1,0.4087660312652588,-25.39239092081412,24.0,PBMC_5k,nGMM_fixk
2,0.4007716178894043,-25.469402508908196,25.0,PBMC_5k,nGMM_fixk
3,0.3987720012664795,-25.245510415722396,27.0,PBMC_5k,nGMM_fixk
4,0.5996565818786621,-25.328413319173446,26.0,PBMC_5k,nGMM_fixk
5,0.3507990837097168,-25.305626390488744,25.0,PBMC_5k,nGMM_fixk
6,0.5296971797943115,-24.678219937327306,33.0,PBMC_5k,nGMM_fixk
7,0.5896611213684082,-24.94437548448975,29.0,PBMC_5k,nGMM_fixk
8,0.23586344718933105,-25.515242501309615,22.0,PBMC_5k,nGMM_fixk
9,0.35979413986206055,-25.17855829387026,26.0,PBMC_5k,nGMM_fixk
0,28.763530015945435,-22.730742229489056,50.0,PBMC_5k,dpgmm
1,42.97938942909241,-22.637541038184285,50.0,PBMC_5k,dpgmm
2,17.364058017730713,-22.767235365076285,50.0,PBMC_5k,dpgmm
3,16.866344213485718,-22.87149997712949,50.0,PBMC_5k,dpgmm
4,15.228280782699585,-22.635595389698874,50.0,PBMC_5k,dpgmm
5,31.790797233581543,-22.657364518166947,50.0,PBMC_5k,dpgmm
6,17.372053384780884,-22.704211114881595,50.0,PBMC_5k,dpgmm
7,14.91546082496643,-22.65279666789171,50.0,PBMC_5k,dpgmm
8,38.50095534324646,-22.687663246028038,50.0,PBMC_5k,dpgmm
9,21.965423107147217,-22.618340821480327,50.0,PBMC_5k,dpgmm
0,107.70734000205994,-10.630034855679904,32.0,PBMC_8k,CITE-sort
1,104.77302098274231,-10.779157598548627,30.0,PBMC_8k,CITE-sort
2,102.81413292884827,-10.731528850104391,31.0,PBMC_8k,CITE-sort
3,97.51817464828491,-10.95221067864014,28.0,PBMC_8k,CITE-sort
4,104.70505881309509,-10.644467718087931,32.0,PBMC_8k,CITE-sort
5,101.70977544784546,-10.779783029296437,30.0,PBMC_8k,CITE-sort
6,103.72061419487,-10.677899612997283,31.0,PBMC_8k,CITE-sort
7,99.14624118804932,-10.731528850104391,31.0,PBMC_8k,CITE-sort
8,100.68646454811096,-10.636410030908806,32.0,PBMC_8k,CITE-sort
9,101.97961044311523,-10.775643442866567,30.0,PBMC_8k,CITE-sort
0,150.70470070838928,-12.67843340228169,15.0,PBMC_8k,GMM
1,154.03279638290405,-12.913352643743446,13.0,PBMC_8k,GMM
2,149.3135085105896,-12.829395836729475,14.0,PBMC_8k,GMM
3,153.33319759368896,-13.018263989717305,13.0,PBMC_8k,GMM
4,166.12588119506836,-12.653060691652987,15.0,PBMC_8k,GMM
5,156.92513966560364,-12.848781057466264,14.0,PBMC_8k,GMM
6,151.6311810016632,-12.641724530158609,16.0,PBMC_8k,GMM
7,149.8801727294922,-12.915539484541302,14.0,PBMC_8k,GMM
8,152.36875820159912,-12.547906030609802,17.0,PBMC_8k,GMM
9,159.12189269065857,-12.613771250927476,16.0,PBMC_8k,GMM
0,3.632920026779175,-11.889442365173966,32.0,PBMC_8k,GMM_fixk
1,2.9373178482055664,-11.976433486487593,30.0,PBMC_8k,GMM_fixk
2,3.503993511199951,-11.896689684489052,31.0,PBMC_8k,GMM_fixk
3,2.3806371688842773,-12.045370890493576,28.0,PBMC_8k,GMM_fixk
4,4.423468589782715,-11.858538382211858,32.0,PBMC_8k,GMM_fixk
5,2.940316677093506,-11.946873896980716,30.0,PBMC_8k,GMM_fixk
6,4.510417461395264,-11.913008586845843,31.0,PBMC_8k,GMM_fixk
7,4.011703968048096,-11.887681569730864,31.0,PBMC_8k,GMM_fixk
8,4.2235822677612305,-11.863128233722959,32.0,PBMC_8k,GMM_fixk
9,3.6099324226379395,-11.9449885106109,30.0,PBMC_8k,GMM_fixk
0,24.473987102508545,-13.257029056715261,48.0,PBMC_8k,nGMM
1,24.23612380027771,-13.248785835689983,50.0,PBMC_8k,nGMM
2,23.25368595123291,-13.361189414486198,47.0,PBMC_8k,nGMM
3,24.1181902885437,-13.269971941994285,50.0,PBMC_8k,nGMM
4,23.40259838104248,-13.343187852332242,46.0,PBMC_8k,nGMM
5,24.961705923080444,-13.205067487524545,50.0,PBMC_8k,nGMM
6,25.16559147834778,-13.23389395749099,49.0,PBMC_8k,nGMM
7,23.77938461303711,-13.264781680716615,50.0,PBMC_8k,nGMM
8,23.51953411102295,-13.2131171601585,50.0,PBMC_8k,nGMM
9,23.450572729110718,-13.276658640933295,49.0,PBMC_8k,nGMM
0,0.471729040145874,-13.881171859596767,32.0,PBMC_8k,nGMM_fixk
1,0.7545680999755859,-13.948365559776445,30.0,PBMC_8k,nGMM_fixk
2,0.4767270088195801,-13.99342604286498,31.0,PBMC_8k,nGMM_fixk
3,0.6516270637512207,-14.070899084715712,28.0,PBMC_8k,nGMM_fixk
4,0.4997129440307617,-13.848630499522454,32.0,PBMC_8k,nGMM_fixk
5,0.548687219619751,-13.917406030558176,30.0,PBMC_8k,nGMM_fixk
6,0.519702672958374,-13.95738399383949,31.0,PBMC_8k,nGMM_fixk
7,0.5456867218017578,-14.07034839948307,31.0,PBMC_8k,nGMM_fixk
8,0.4397470951080322,-13.899285897252645,32.0,PBMC_8k,nGMM_fixk
9,0.4247574806213379,-14.03919632385835,30.0,PBMC_8k,nGMM_fixk
0,36.233253717422485,-12.107852092857222,50.0,PBMC_8k,dpgmm
1,30.52152371406555,-12.123206747355963,50.0,PBMC_8k,dpgmm
2,32.488396883010864,-12.097017001280479,50.0,PBMC_8k,dpgmm
3,27.36733055114746,-12.106176005176184,50.0,PBMC_8k,dpgmm
4,64.03633379936218,-12.105459632889083,50.0,PBMC_8k,dpgmm
5,25.79922842979431,-12.09453672839614,50.0,PBMC_8k,dpgmm
6,47.8176212310791,-12.076773396014579,50.0,PBMC_8k,dpgmm
7,20.216424465179443,-12.086241998093666,50.0,PBMC_8k,dpgmm
8,53.82618069648743,-12.112368588880203,50.0,PBMC_8k,dpgmm
9,26.560791969299316,-12.083497305149283,50.0,PBMC_8k,dpgmm
0,104.09340858459473,-9.964740682097846,16.0,MALT_8k,CITE-sort
1,90.37426471710205,-10.519119375728287,12.0,MALT_8k,CITE-sort
2,106.49103569984436,-10.02847883660573,15.0,MALT_8k,CITE-sort
3,101.72176790237427,-9.965077840276498,16.0,MALT_8k,CITE-sort
4,87.93864917755127,-10.519119375728287,12.0,MALT_8k,CITE-sort
5,94.86282300949097,-10.334480564516857,14.0,MALT_8k,CITE-sort
6,91.9593575000763,-10.334480564516857,14.0,MALT_8k,CITE-sort
7,98.18778967857361,-9.964740682097846,16.0,MALT_8k,CITE-sort
8,104.2493200302124,-9.964740682097846,16.0,MALT_8k,CITE-sort
9,99.52801489830017,-10.149379493309278,14.0,MALT_8k,CITE-sort
0,162.16115069389343,-10.78066231422725,12.0,MALT_8k,GMM
1,158.64816308021545,-11.21033384197538,9.0,MALT_8k,GMM
2,172.3073332309723,-10.878094176531889,12.0,MALT_8k,GMM
3,160.98681473731995,-10.719243317607775,13.0,MALT_8k,GMM
4,165.07948184013367,-10.851954988736965,11.0,MALT_8k,GMM
5,164.23995232582092,-11.03250866619702,11.0,MALT_8k,GMM
6,156.05663537979126,-10.84594605238231,12.0,MALT_8k,GMM
7,166.68856000900269,-10.871247623058528,11.0,MALT_8k,GMM
8,159.71054553985596,-11.03118670656651,10.0,MALT_8k,GMM
9,160.99881625175476,-10.983021426242125,10.0,MALT_8k,GMM
0,1.252284049987793,-10.664905043752391,16.0,MALT_8k,GMM_fixk
1,1.3892052173614502,-10.845855560036672,12.0,MALT_8k,GMM_fixk
2,1.602081537246704,-10.66361543142215,15.0,MALT_8k,GMM_fixk
3,1.984863519668579,-10.616611113282252,16.0,MALT_8k,GMM_fixk
4,1.2582783699035645,-10.817374274546374,12.0,MALT_8k,GMM_fixk
5,2.392629861831665,-10.643494736654336,14.0,MALT_8k,GMM_fixk
6,2.1727559566497803,-10.628945033757466,14.0,MALT_8k,GMM_fixk
7,1.6800284385681152,-10.573609392280927,16.0,MALT_8k,GMM_fixk
8,2.473573923110962,-10.587864387007873,16.0,MALT_8k,GMM_fixk
9,1.652052879333496,-10.646049674875046,14.0,MALT_8k,GMM_fixk
0,32.25153422355652,-11.17962721969968,49.0,MALT_8k,nGMM
1,31.582916736602783,-11.20487390143217,50.0,MALT_8k,nGMM
2,32.2605299949646,-11.170188239143851,49.0,MALT_8k,nGMM
3,31.862756490707397,-11.183292293735285,48.0,MALT_8k,nGMM
4,31.8977370262146,-11.234650526891373,48.0,MALT_8k,nGMM
5,33.487815856933594,-11.301479520501074,45.0,MALT_8k,nGMM
6,30.58048915863037,-11.214989136550269,50.0,MALT_8k,nGMM
7,32.620323181152344,-11.195152031158566,48.0,MALT_8k,nGMM
8,33.890594482421875,-11.174076335338153,49.0,MALT_8k,nGMM
9,33.67072105407715,-11.294354727575243,44.0,MALT_8k,nGMM
0,0.33580660820007324,-12.582591731579186,16.0,MALT_8k,nGMM_fixk
1,0.2268695831298828,-13.164387624746238,12.0,MALT_8k,nGMM_fixk
2,0.2488558292388916,-12.725037790760195,15.0,MALT_8k,nGMM_fixk
3,0.2548534870147705,-12.613755613304862,16.0,MALT_8k,nGMM_fixk
4,0.11993145942687988,-13.399302772496565,12.0,MALT_8k,nGMM_fixk
