,time,ll,bic,n_component,DB,method
7,0.11271023750305176,-8.419873076011498,145416.0084224086,22.0,MALT_8k,nGMM
8,0.09589195251464844,-8.53846610987413,146897.02971192208,19.0,MALT_8k,nGMM
9,0.14923810958862305,-8.407899930568272,145384.24865985673,23.0,MALT_8k,nGMM
0,1.5813980102539062,-6.364109836495208,112596.86943478562,19.0,CBMC_8k,CITE-sort
1,1.5774438381195068,-6.3673479587837996,112498.62986562813,18.0,CBMC_8k,CITE-sort
2,1.539851188659668,-6.367761693867996,112505.76017606918,18.0,CBMC_8k,CITE-sort
3,1.6679980754852295,-6.34040005469012,112188.25505515673,19.0,CBMC_8k,CITE-sort
4,1.5511629581451416,-6.360399431970839,112532.92432321265,19.0,CBMC_8k,CITE-sort
5,1.6738181114196777,-6.3647364950804,112607.66926884283,19.0,CBMC_8k,CITE-sort
6,1.5708410739898682,-6.355419664913761,112601.14838643002,20.0,CBMC_8k,CITE-sort
7,1.5760369300842285,-6.357796351725545,112642.10820694432,20.0,CBMC_8k,CITE-sort
8,1.464735984802246,-6.367761693867996,112505.76017606918,18.0,CBMC_8k,CITE-sort
9,1.5899713039398193,-6.32961681581974,112310.50745382276,21.0,CBMC_8k,CITE-sort
0,0.6619877815246582,-4.510979393152983,85469.61130894872,19.0,CBMC_8k,GMM
1,0.33260416984558105,-4.60923707895074,86752.91326746752,18.0,CBMC_8k,GMM
2,0.5183930397033691,-4.57249215155964,86125.12276259843,18.0,CBMC_8k,GMM
3,0.41444897651672363,-4.598139084551907,86975.21086818096,19.0,CBMC_8k,GMM
4,0.47031712532043457,-4.575349654426403,86578.95923897572,19.0,CBMC_8k,GMM
5,0.4637570381164551,-4.565348853628528,86410.23337112383,19.0,CBMC_8k,GMM
6,0.3703291416168213,-4.524238921480881,86103.61132192895,20.0,CBMC_8k,GMM
7,0.44608592987060547,-4.5440882313597735,86455.32499173887,20.0,CBMC_8k,GMM
8,0.4300708770751953,-4.663088073844756,87680.80151608032,18.0,CBMC_8k,GMM
9,0.3334038257598877,-4.532936659473049,86659.01521307034,21.0,CBMC_8k,GMM
0,0.12944817543029785,-6.057223833590501,107298.58690010864,19.0,CBMC_8k,nGMM
1,0.10278129577636719,-6.188431521796373,109400.40181947568,18.0,CBMC_8k,nGMM
2,0.10554099082946777,-6.120164468368747,108229.25988782156,18.0,CBMC_8k,nGMM
3,0.09456467628479004,-6.040737858995399,107012.36836988111,19.0,CBMC_8k,nGMM
4,0.08441495895385742,-6.1769925054567985,109358.50227287639,19.0,CBMC_8k,nGMM
5,0.10467410087585449,-6.0628602173089226,107391.16892016676,19.0,CBMC_8k,nGMM
6,0.10837197303771973,-6.03670324695701,107096.7686853721,20.0,CBMC_8k,nGMM
7,0.09143185615539551,-5.991699539515126,106319.03245007277,20.0,CBMC_8k,nGMM
8,0.09178495407104492,-6.085520395418077,107630.15162431629,18.0,CBMC_8k,nGMM
9,0.13098692893981934,-5.949626117580737,105740.3608819197,21.0,CBMC_8k,nGMM
0,2.5118660926818848,-4.622624318068818,151357.64048860376,30.0,PBMC_16k,CITE-sort
1,2.182826042175293,-5.422101895636898,175532.73375749,23.0,PBMC_16k,CITE-sort
2,2.1419589519500732,-5.353554822535321,172868.11781864305,20.0,PBMC_16k,CITE-sort
3,2.5556678771972656,-5.300773603717451,171524.9022070207,22.0,PBMC_16k,CITE-sort
4,2.3147940635681152,-5.3531155629512295,173182.99079162834,22.0,PBMC_16k,CITE-sort
5,2.499323844909668,-4.65552766288677,151742.3769695666,26.0,PBMC_16k,CITE-sort
6,2.1241798400878906,-4.880281503964596,158040.1595520047,21.0,PBMC_16k,CITE-sort
7,2.152833938598633,-5.4451787511451855,176263.76238628154,23.0,PBMC_16k,CITE-sort
8,2.1633620262145996,-5.502401365071444,177747.67251214743,21.0,PBMC_16k,CITE-sort
9,2.31435489654541,-4.8439605286700225,157382.76545375836,24.0,PBMC_16k,CITE-sort
0,1.4144580364227295,-5.124886394260993,175365.1889132596,30.0,PBMC_16k,GMM
1,0.8795738220214844,-5.247281883187149,176205.95219128366,23.0,PBMC_16k,GMM
2,0.7388548851013184,-5.348087190138184,178092.651414541,20.0,PBMC_16k,GMM
3,0.7176558971405029,-5.302812571086369,177520.39248609767,22.0,PBMC_16k,GMM
4,0.9349429607391357,-5.25161498397784,175914.07391252043,22.0,PBMC_16k,GMM
5,0.803678035736084,-5.251041933734646,177622.75427598614,26.0,PBMC_16k,GMM
6,0.7691028118133545,-5.281019420338424,176394.5392779519,21.0,PBMC_16k,GMM
7,0.7854559421539307,-5.270179898208045,176922.41885804676,23.0,PBMC_16k,GMM
8,0.7193880081176758,-5.3287302931610485,177901.53403452266,21.0,PBMC_16k,GMM
9,1.0948500633239746,-5.24096548882081,176431.03614872135,24.0,PBMC_16k,GMM
0,0.4008901119232178,-5.5584422812945515,180978.25149073126,30.0,PBMC_16k,nGMM
1,0.2562389373779297,-5.746965671212717,185816.3434176792,23.0,PBMC_16k,nGMM
2,0.16918683052062988,-5.855950550695162,188765.34370402092,20.0,PBMC_16k,nGMM
3,0.28665900230407715,-5.782957060395885,186788.73678983096,22.0,PBMC_16k,nGMM
4,0.3226139545440674,-5.806195436457849,187508.72556868164,22.0,PBMC_16k,nGMM
5,0.29004693031311035,-5.634555563700794,182733.68691707938,26.0,PBMC_16k,nGMM
6,0.16335010528564453,-5.8535466736657,188848.0856092121,21.0,PBMC_16k,nGMM
7,0.21469879150390625,-5.743257931506316,185672.74806116667,23.0,PBMC_16k,nGMM
8,0.21370887756347656,-5.81137711137325,187511.01631720006,21.0,PBMC_16k,nGMM
9,0.2974238395690918,-5.696305582413209,184361.43877733074,24.0,PBMC_16k,nGMM
