,time,ll,bic,n_component,DB,method
5,0.5949759483337402,-5.428483739588968,179324.9396759519,17.0,PBMC_16k,GMM
6,0.7616188526153564,-5.248322439227608,175806.96588796642,22.0,PBMC_16k,GMM
7,0.6302831172943115,-5.305637157055214,177612.91779621228,22.0,PBMC_16k,GMM
8,0.5043289661407471,-5.321080190805292,177666.2841797434,21.0,PBMC_16k,GMM
9,0.5827598571777344,-5.275454529834107,176219.78769735052,21.0,PBMC_16k,GMM
0,0.17671608924865723,-5.714774138841729,184952.60012144645,24.0,PBMC_16k,nGMM
1,0.22993779182434082,-5.795554772085684,187173.43329816326,22.0,PBMC_16k,nGMM
2,0.20836615562438965,-5.73201185776524,185327.85821218122,23.0,PBMC_16k,nGMM
3,0.1986408233642578,-5.818204534449665,187738.2148923623,21.0,PBMC_16k,nGMM
4,0.3298048973083496,-5.702030735231473,184542.13535930746,24.0,PBMC_16k,nGMM
5,0.17983317375183105,-5.967352924237675,191798.40535841696,17.0,PBMC_16k,nGMM
6,0.20919299125671387,-5.7969637320579945,187217.16628912961,22.0,PBMC_16k,nGMM
7,0.1835939884185791,-5.7863992760750875,186885.1308991835,22.0,PBMC_16k,nGMM
8,0.1705019474029541,-5.855641969131611,188918.93864829233,21.0,PBMC_16k,nGMM
9,0.14423871040344238,-5.8438262967148855,188547.48461834533,21.0,PBMC_16k,nGMM
